,Country,Brand,Notes
0,Canada,Jeotex (Datawind),Bankruptcy in 2021
1,China,Gionee,"Bankruptcy in 2018, acquired by Karbonn Mobiles"
2,China,ZUK Mobile,"Subsidiary of Lenovo, defunt in 2017"
3,Germany,AEG,
4,Germany,BenQ Mobile,"Bankruptcy in 2006, defunct in 2007"
5,Germany,Grundig Mobile,
6,Germany,Hagenuk Telecom GmbH,"insolvency in 1997, mobile phone development and manufacturing business acquired by Telital in 1998[6]"
7,Germany,Siemens Mobile,Acquired by BenQ Corporation in 2005 to form BenQ Mobile
8,Germany,Telefunken,
9,Italy,Onda Mobile Communication,
10,India,YU Televentures,Was a subsidiary of Micromax
11,Japan,Sanyo,
12,Spain,GeeksPhone,
13,Spain,Vitelcom,
14,Spain,Energy Sistem,
15,Spain,BQ,"After having a majority acquired by VinSmart/Vingroup in 2018, BQ ceased operations; liquidating in 2020."
16,South Africa,8.ta,"Phase out in 2013, in favour of its current operations as Telkom Mobile"
17,United Kingdom,Vertu,
18,United Kingdom,Kazam,
19,United States,Essential Products,
20,United States,Microsoft Mobile,"Established in 2014 following the acquisition of Nokia's Devices and Services division by Microsoft, defunct in 2017"
21,United States,Nextbit (2016-2017),Defunct in 2017
22,Vietnam,FPT,
23,Vietnam,VinSmart,Subsidiary of Vingroup. (Production closed due to the COVID-19 pandemic. Sales and services for VinSmart smartphones still continue to operate)
24,Vietnam,Avio,Sub-brand of Vietnam Telecommunications and Electronic Cables Joint Stock Company (VINACAP) - a subsidiary of VNPT. The brand was launched for the low-end market and targeted to users of Vinaphone's services. The brand ceased operation in circa 2016 due to poor sales.
25,Vietnam,Hi-Mobile,Subsidiary of HiPT
26,Vietnam,Bluefone,Subsidiary of CMC Cooperation
27,Vietnam,Mobiistar,
28,Vietnam,Asanzo,
29,Vietnam,VNPT,
30,Vietnam,Kangaroo Mobile,
31,Vietnam,Maxfone,
32,Vietnam,K-Touch,
33,Vietnam,Viettel,
34,Vietnam,Q-Mobile,
